,Gene,Chr,Distance,Relation_to_CGI,cases_mean,controls_mean,delta_beta,ttest_p.value
cg06419212,ACSF3,16,Body;5'UTR;5'UTR,S_Shore,0.89081047,0.57884938,0.3119610934,1.178239e-14
cg01123946,ACSF3,16,Body;5'UTR;5'UTR,N_Shelf,0.86285682,0.56194655,0.3009102663,1.171774e-14
cg03172657,ACSF3,16,Body;5'UTR;5'UTR,N_Shelf,0.88660292,0.43824148,0.4483614349,2.949620e-16
cg02691035,ACSF3,16,Body;5'UTR;5'UTR,N_Shelf,0.86774806,0.49529436,0.3724536938,1.496632e-18
cg08316009,ACSF3,16,Body;5'UTR;5'UTR,N_Shore,0.86231341,0.52128359,0.3410298207,4.927432e-14
cg08935864,ACSF3,16,Body;Body;Body,Island,0.85328955,0.54448189,0.3088076620,6.394561e-15
cg10398761,ACSF3,16,Body;Body;Body,S_Shore,0.93946213,0.63121911,0.3082430157,2.360165e-12
cg07215234,ACSF3,16,Body;Body;Body,Island,0.93762856,0.58111110,0.3565174565,1.587513e-13
cg00623015,ACSF3,16,Body;Body;Body,S_Shelf,0.85619187,0.54071874,0.3154731262,1.193687e-12
cg06615999,ACSF3,16,Body;Body;Body,<NA>,0.90076222,0.59900553,0.3017566914,6.954091e-12
cg06934654,ACSF3,16,Body;Body;Body,<NA>,0.91654630,0.55871361,0.3578326821,3.346364e-16
cg10512427,ACSF3,16,Body;Body;Body,N_Shelf,0.89009098,0.53885579,0.3512351948,1.526681e-15
cg07944420,ACSF3,16,Body;Body;Body,N_Shore,0.88346766,0.56047322,0.3229944455,9.854135e-15
cg06245181,ACSF3,16,Body;Body;Body,Island,0.86388325,0.42088791,0.4429953353,5.916925e-17
cg00759803,ACSF3,16,Body;Body;Body,Island,0.89463344,0.58290239,0.3117310483,4.281841e-16
cg07706680,ACSF3,16,Body;Body;Body,<NA>,0.91642449,0.61312839,0.3032960937,9.537832e-11
cg10453148,ACSF3,16,Body;Body;Body,<NA>,0.88672301,0.55009946,0.3366235548,2.465937e-13
,,,,,,,,
,Gene,Chr,Distance,Relation_to_CGI,cases_mean,controls_mean,delta_beta,ttest_p.value
cg26436136,MCF2L2,3,Body;TSS1500,N_Shore,0.41332814,0.79112437,-3.777962e-01,5.063797e-14
cg21450829,MCF2L2,3,Body;TSS1500,N_Shore,0.40354717,0.80333545,-3.997883e-01,1.388754e-16
cg27324128,MCF2L2,3,Body;TSS1500,N_Shore,0.20433964,0.55394605,-3.496064e-01,5.559913e-19
cg17701886,MCF2L2,3,Body;TSS200,N_Shore,0.07431017,0.43141623,-3.571061e-01,1.607918e-15
cg01720186,MCF2L2,3,Body;TSS200,N_Shore,0.09934595,0.44570636,-3.463604e-01,1.039467e-17
cg15510249,MCF2L2,3,Body;TSS200,N_Shore,0.06114323,0.39286744,-3.317242e-01,3.151543e-15
cg19998675,MCF2L2,3,Body;TSS200,N_Shore,0.08806474,0.40633238,-3.182676e-01,1.156277e-14
cg04468081,MCF2L2,3,Body;5'UTR,<NA>,0.30419509,0.82186552,-5.176704e-01,3.887327e-17
,,,,,,,,
,Gene,Chr,Distance,Relation_to_CGI,cases_mean,controls_mean,delta_beta,ttest_p.value
cg13779868,NET1,10,Body;TSS200,N_Shore,0.33643621,0.69395501,-0.3575188063,2.538487e-20
cg14426660,NET1,10,Body;TSS200,Island,0.17131629,0.49087816,-0.3195618720,2.138867e-14
cg24068468,NET1,10,Body;TSS200,Island,0.08361194,0.49099292,-0.4073809839,1.594176e-22
cg27367170,NET1,10,Body;5'UTR;1stExon,Island,0.06651242,0.45298376,-0.3864713441,2.254118e-19
,,,,,,,,
,Gene,Chr,Distance,Relation_to_CGI,cases_mean,controls_mean,delta_beta,ttest_p.value
cg19301114,PARK2,6,Body;Body;Body,<NA>,0.15253258,0.58778703,-4.352544e-01,6.405919e-25
cg23244761,PARK2,6,Body;Body;Body,<NA>,0.09055261,0.55597445,-4.654218e-01,3.977155e-22
cg26872907,PARK2,6,Body;Body;Body,<NA>,0.04693962,0.36542310,-3.184835e-01,1.056698e-16
,,,,,,,,
,Gene,Chr,Distance,Relation_to_CGI,cases_mean,controls_mean,delta_beta,ttest_p.value
cg15858166,RIMBP2,12,Body,N_Shore,0.8156971,0.4800527,3.356445e-01,5.957937e-26
cg26691533,RIMBP2,12,Body,Island,0.7946128,0.4686821,3.259307e-01,3.712494e-25
cg07433411,RIMBP2,12,Body,Island,0.9299069,0.5357983,3.941086e-01,2.582573e-23
cg15780870,RIMBP2,12,Body,Island,0.9437349,0.5492101,3.945248e-01,1.614300e-22
cg00055764,RIMBP2,12,Body,<NA>,0.8410257,0.4780241,3.630016e-01,4.850603e-20
,,,,,,,,
,Gene,Chr,Distance,Relation_to_CGI,cases_mean,controls_mean,delta_beta,ttest_p.value
cg17766305,RNLS,10,Body;Body,<NA>,0.2099517,0.53387958,-0.323927836,1.358985e-14
cg04812509,RNLS,10,Body;Body,Island,0.3992129,0.07494507,0.324267866,6.515751e-08
cg05339066,RNLS,10,TSS200;TSS200,Island,0.4547204,0.05037728,0.404343072,1.198845e-09
cg06118999,RNLS,10,TSS200;TSS200,Island,0.4871281,0.08840948,0.398718602,2.022484e-10
cg18192294,RNLS,10,TSS200;TSS200,Island,0.4033656,0.04015654,0.363209062,3.368994e-08
cg06981182,RNLS,10,TSS200;TSS200,Island,0.5596442,0.10302172,0.456622490,7.786858e-12
cg11861709,RNLS,10,TSS200;TSS200,Island,0.4750605,0.10242567,0.372634821,1.116326e-10
cg06079710,RNLS,10,TSS1500;TSS1500,S_Shore,0.6059166,0.15639094,0.449525625,3.764432e-13
